id,canonicalSmiles,inchiKey,drugType,blackBoxWarning,name,yearOfFirstApproval,maximumClinicalTrialPhase,parentId,hasBeenWithdrawn,isApproved,tradeNames,synonyms,crossReferences,childChemblIds,linkedDiseases,linkedTargets,description
CHEMBL466659,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],TZRXHJWUDPFEEY-UHFFFAOYSA-N,Small molecule,False,PENTAERYTHRITOL TETRANITRATE,,4.0,,False,True,['Cardiacap' 'Mycardol' 'Peritrate' 'Peritrate sa'],"['Pentaerithritol tetranitrate' 'Pentaerithrityl tetranitrate'
 'Pentaerythritol tetranitrate' 'Pentaerythrityl tetranitrate' 'Pentalong'
 'Pentanitrol']","[('PubChem', array(['144205177', '144212064', '29215318'], dtype=object)), ('Wikipedia', array(['Pentaerythritol_tetranitrate'], dtype=object)), ('drugbank', array(['DB06154'], dtype=object)), ('chEBI', array(['25879'], dtype=object))]",,"{'rows': array(['EFO_0000319'], dtype=object), 'count': 1}","[ENSG00000061918,ENSG00000123201,ENSG00000152402,ENSG00000164116]",Small molecule drug with a maximum clinical trial phase of IV and is indicated for cardiovascular disease.
CHEMBL471737,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,ACRHBAYQBXXRTO-OAQYLSRUSA-N,Small molecule,False,IVABRADINE,2015.0,4.0,,False,True,['Corlanor' 'Procoralan'],['Ivabradine' 'S-16257'],"[('DailyMed', array(['ivabradine'], dtype=object)), ('PubChem', array(['50125937'], dtype=object)), ('Wikipedia', array(['Ivabradine'], dtype=object)), ('drugbank', array(['DB09083'], dtype=object)), ('chEBI', array(['85966'], dtype=object))]",['CHEMBL2145077'],"{'rows': array(['EFO_1001207', 'EFO_0003144', 'EFO_0006834', 'EFO_0007372',
       'EFO_1000645', 'EFO_0003144', 'EFO_1000899', 'EFO_1001373',
       'EFO_0000574', 'EFO_0003913', 'EFO_0005252', 'HP_0001649',
       'EFO_0000401', 'EFO_0008586', 'EFO_0000373', 'EFO_0001645',
       'EFO_0000319', 'EFO_0000275', 'EFO_0005251', 'EFO_0000373',
       'EFO_0003913', 'MONDO_0004992'], dtype=object), 'count': 22}",[ENSG00000138622],Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2015 and has 4 approved and 18 investigational indications.
CHEMBL521851,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,LHNIIDJUOCFXAP-UHFFFAOYSA-N,Small molecule,False,PICTILISIB,,2.0,,False,False,[],['CDC-0941' 'GDC 0941' 'GDC-0941' 'Pictilisib' 'Pictrelisib' 'Rg-7321'],"[('PubChem', array(['103905592'], dtype=object)), ('drugbank', array(['DB11663'], dtype=object)), ('chEBI', array(['65326'], dtype=object))]",['CHEMBL4097197' 'CHEMBL1922096'],"{'rows': array(['MONDO_0007254', 'EFO_0005952', 'MONDO_0004992', 'EFO_0003060',
       'EFO_0000616'], dtype=object), 'count': 5}","[ENSG00000145675,ENSG00000051382,ENSG00000105851,ENSG00000121879,ENSG00000105647,ENSG00000171608,ENSG00000141506,ENSG00000117461]",Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 5 investigational indications.
CHEMBL524,COc1ccc(OC)c(C(O)C(C)N)c1,WJAJPNHVVFWKKL-UHFFFAOYSA-N,Small molecule,False,METHOXAMINE,1982.0,4.0,,False,True,[],['Methoxamine' 'NRL-001' 'NRL001' 'Nrl001' 'Vasoxyl'],"[('PubChem', array(['90341132'], dtype=object)), ('Wikipedia', array(['Methoxamine'], dtype=object)), ('drugbank', array(['DB00723'], dtype=object)), ('chEBI', array(['6839'], dtype=object))]",['CHEMBL1201103'],"{'rows': array(['EFO_0009523', 'EFO_0000319', 'EFO_0009523', 'HP_0000020'],
      dtype=object), 'count': 4}","[ENSG00000120907,ENSG00000171873,ENSG00000170214]",Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1982 and is indicated for cardiovascular disease and has 3 investigational indications.
CHEMBL5314392,C[C@H](N)C(=O)N[C@@H](C)C(=O)OCCOc1ccc(-c2c(C#N)c(SCc3csc(-c4ccc(Cl)cc4)n3)nc(N3CCCC3)c2C#N)cc1,WESNEIGKOAXSGX-VXKWHMMOSA-N,Small molecule,False,BAY1067197,,2.0,,False,False,[],"['BAY-10-67197' 'BAY-1067197' 'BAY10-67197' 'BAY1067197' 'Bay1067197'
 'Neladenoson bialanate' 'Neladenoson dalanate']",,,"{'rows': array(['EFO_0003144'], dtype=object), 'count': 1}",[ENSG00000163485],Small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication.
CHEMBL5314401,Cc1ncccc1C(=O)N1CCN(S(=O)(=O)c2ccc(C(F)(F)F)cc2)C[C@@H]1C,BLFJGFDZMABYMY-ZDUSSCGKSA-N,Small molecule,False,CNV2197944,,2.0,,False,False,[],['CNV2197944' 'Cnv-2197944' 'Cnv2197944'],,,"{'rows': array(['EFO_1000783', 'MONDO_0041052'], dtype=object), 'count': 2}",[ENSG00000148408],Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications.
CHEMBL1090090,NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F,FYSRKRZDBHOFAY-UHFFFAOYSA-N,Small molecule,False,VX-702,,2.0,,False,False,[],['VX-702' 'Vx-702'],"[('PubChem', array(['103905258', '137275870'], dtype=object)), ('drugbank', array(['DB05470'], dtype=object))]",,"{'rows': array(['EFO_0000685'], dtype=object), 'count': 1}",[ENSG00000112062],Small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication.
CHEMBL1200469,CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl,JIVSXRLRGOICGA-UHFFFAOYSA-N,Small molecule,False,PROMAZINE HYDROCHLORIDE,1956.0,4.0,CHEMBL564,False,True,"['Prazine' 'Promazine Granules' 'Promazine hydrochloride' 'Protactyl'
 'Sparine' 'Tranquazine' 'Verophene']","['NSC-17468' 'Promazine chloride' 'Promazine hcl'
 'Promazine hydrochloride']","[('PubChem', array(['144203786', '170464766', '26747628', '26747629', '50106839',
       '50106840', '50106841', '56422376', '57288080', '855749'],
      dtype=object)), ('chEBI', array(['8460'], dtype=object))]",,,"[ENSG00000149295,ENSG00000151577,ENSG00000069696,ENSG00000102468]",Small molecule drug with a maximum clinical trial phase of IV that was first approved in 1956.
CHEMBL1200879,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],KYITYFHKDODNCQ-UHFFFAOYSA-M,Small molecule,True,WARFARIN SODIUM,1954.0,4.0,CHEMBL1464,False,True,['Athrombin' 'Coumadin' 'Jantoven' 'Marevan' 'Panwarfin' 'Warfarin sodium'],"['Aldocumar' 'Apo-warfarin' 'Prothromadin' 'Sodium warfarin'
 'Warfarin sodium' 'Warfarin sodium salt' 'Warfarinum natricum'
 'Zoocoumarin sodium salt']","[('DailyMed', array(['warfarin%20sodium'], dtype=object)), ('PubChem', array(['144211862', '50085469'], dtype=object))]",,"{'rows': array(['EFO_0000712', 'HP_0004936', 'EFO_0003907', 'EFO_0000275',
       'EFO_0000612', 'EFO_0000685', 'EFO_0003827', 'HP_0001907',
       'EFO_0004239'], dtype=object), 'count': 9}",[ENSG00000167397],Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1954 and has 7 approved and 2 investigational indications. This drug has a black box warning from the FDA.
CHEMBL1201746,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,OGSBUKJUDHAQEA-WMCAAGNKSA-N,Small molecule,False,PRALATREXATE,2009.0,4.0,,False,True,['Folotyn'],['NSC-754230' 'PDX' 'Pralatrexate'],"[('DailyMed', array(['pralatrexate'], dtype=object)), ('PubChem', array(['144206459'], dtype=object)), ('Wikipedia', array(['Pralatrexate'], dtype=object)), ('drugbank', array(['DB06813'], dtype=object)), ('chEBI', array(['71223'], dtype=object))]",,"{'rows': array(['EFO_0001378', 'EFO_0002913', 'MONDO_0000430', 'EFO_1000785',
       'MONDO_0015760', 'MONDO_0002158', 'MONDO_0008903', 'MONDO_0002087',
       'EFO_0000574', 'EFO_0000305', 'EFO_0003060', 'EFO_0000616',
       'MONDO_0008170', 'EFO_0003032', 'EFO_0006859', 'MONDO_0019471',
       'EFO_0000211', 'MONDO_0004992', 'EFO_1001051'], dtype=object), 'count': 19}",[ENSG00000228716],Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2009 and has 5 approved and 14 investigational indications.
CHEMBL1721885,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,CTNPALGJUAXMMC-PMFHANACSA-N,Small molecule,False,SU-014813,,2.0,,False,False,[],['SU-14813' 'Su-014813' 'Su-14813'],"[('PubChem', array(['50100117'], dtype=object))]",,"{'rows': array(['EFO_0000616', 'EFO_0003869'], dtype=object), 'count': 2}","[ENSG00000157404,ENSG00000113721,ENSG00000134853,ENSG00000102755,ENSG00000037280,ENSG00000128052,ENSG00000122025]",Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications.
CHEMBL1761322,CCS(=O)(=O)CCCC12CCC(c3nnc(-c4ccccc4C(F)(F)F)n3C)(CC1)CC2,ORQZQBUNAMJFCY-UHFFFAOYSA-N,Small molecule,False,MK-0736,,2.0,,False,False,[],['MK0736' 'Mk-0736' 'Mk0736'],"[('drugbank', array(['DB15209'], dtype=object))]",,"{'rows': array(['EFO_0003875', 'EFO_0000537'], dtype=object), 'count': 2}",[ENSG00000117594],Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications.
CHEMBL197672,C[C@H](NC(=O)C(=O)Nc1ccccc1C(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)COc1c(F)c(F)cc(F)c1F,SCVHJVCATBPIHN-SJCJKPOMSA-N,Small molecule,False,EMRICASAN,,2.0,,False,False,[],"['Emricasan' 'IDN 6556' 'IDN-6556' 'PF 03491390' 'PF-03491390' 'VAY-785'
 'VAY785']","[('drugbank', array(['DB05408'], dtype=object))]",,"{'rows': array(['EFO_0010282', 'EFO_0000400', 'MONDO_0100096', 'EFO_1001249',
       'EFO_0001422', 'EFO_0004220', 'EFO_1001345', 'EFO_0001421'],
      dtype=object), 'count': 8}","[ENSG00000196954,ENSG00000132906,ENSG00000164305,ENSG00000137757,ENSG00000138794,ENSG00000165806,ENSG00000064012,ENSG00000137752,ENSG00000106144,ENSG00000003400,ENSG00000105141,ENSG00000204403]",Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 8 investigational indications.
CHEMBL2103840,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,PIMQWRZWLQKKBJ-SFHVURJKSA-N,Small molecule,False,DINACICLIB,,3.0,,False,False,[],['Dinaciclib' 'Mk-7965' 'SCH 727965' 'SCH-727965' 'SCH727965'],"[('drugbank', array(['DB12021'], dtype=object))]",,"{'rows': array(['EFO_0006861', 'EFO_0000756', 'EFO_0000222', 'EFO_0000616',
       'EFO_0000095', 'MONDO_0001023', 'MONDO_0007254', 'EFO_0001378',
       'EFO_0000220'], dtype=object), 'count': 9}","[ENSG00000123374,ENSG00000170312,ENSG00000136807,ENSG00000164885]",Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 9 investigational indications.
CHEMBL2108660,,,Antibody drug conjugate,False,TUCOTUZUMAB CELMOLEUKIN,,2.0,,False,False,[],"['EMD 273066' 'EMD-273066' 'HUKS-IL2' 'KSA-INTERLEUKIN-2'
 'Tucotuzumab celmoleukin']",,,"{'rows': array(['MONDO_0008170'], dtype=object), 'count': 1}",[ENSG00000119888],Antibody drug conjugate drug with a maximum clinical trial phase of II and has 1 investigational indication.
CHEMBL2108887,,,Antibody,False,AFELIMOMAB,,2.0,,False,False,['Segard'],['Afelimomab' 'LU-54107' 'LU54107' 'MAK-195F'],,,"{'rows': array(['EFO_0000540'], dtype=object), 'count': 1}",[ENSG00000232810],Antibody drug with a maximum clinical trial phase of II and has 1 investigational indication.
CHEMBL229430,CC(=O)Nc1nc2c(Oc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)cccc2s1,YUTIXVXZQIQWGY-UHFFFAOYSA-N,Small molecule,False,AMG-517,,1.0,,False,False,[],['AMG-517' 'Amg-517'],,,,[ENSG00000196689],Small molecule drug with a maximum clinical trial phase of I.
CHEMBL3039521,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)NNC(=O)OCCSSC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)CC[C@H](NC(=O)c5ccc(NCc6cnc7[nH]c(N)nc(=O)c7n6)cc5)C(=O)O)C(=O)O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,KUZYSQSABONDME-QRLOMCMNSA-N,Unknown,False,VINTAFOLIDE,,3.0,,False,False,[],['EC-145' 'EC145' 'Vintafolide'],"[('drugbank', array(['DB05168'], dtype=object))]",,"{'rows': array(['EFO_0000571', 'EFO_0000616', 'EFO_0003869', 'MONDO_0004992',
       'EFO_0003060', 'MONDO_0008170'], dtype=object), 'count': 6}",[ENSG00000110195],Unknown drug with a maximum clinical trial phase of III (across all indications) and has 6 investigational indications.
CHEMBL3545185,O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1,DEVSOMFAQLZNKR-RJRFIUFISA-N,Small molecule,False,SELINEXOR,2019.0,4.0,,False,True,['Nexpovio' 'Xpovio'],['KPT-330' 'Selinexor'],"[('DailyMed', array(['selinexor'], dtype=object)), ('EMA', array(['https://www.ema.europa.eu/en/medicines/human/EPAR/nexpovio'],
      dtype=object)), ('drugbank', array(['DB11942'], dtype=object))]",,"{'rows': array(['MONDO_0044903', 'EFO_0000574', 'EFO_0000702', 'MONDO_0008315',
       'EFO_0000182', 'EFO_1000581', 'EFO_0005537', 'EFO_0000681',
       'EFO_0000708', 'EFO_0000616', 'EFO_0003085', 'MONDO_0011962',
       'EFO_0007143', 'EFO_0001642', 'EFO_1000251', 'EFO_0000519',
       'EFO_0003060', 'EFO_0000339', 'EFO_0000096', 'EFO_0001075',
       'EFO_0000389', 'MONDO_0019460', 'MONDO_0007254', 'EFO_0001378',
       'MONDO_0100096', 'EFO_1001968', 'EFO_0000198', 'EFO_0004142',
       'EFO_0000220', 'MONDO_0004992', 'EFO_0002617', 'EFO_0000211',
       'EFO_1000657', 'EFO_0000691', 'MONDO_0000430', 'EFO_0000756',
       'MONDO_0019438', 'EFO_0008528', 'EFO_1001459', 'EFO_1001465',
       'EFO_0000707', 'EFO_0000222', 'EFO_0000403'], dtype=object), 'count': 43}",[ENSG00000082898],Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2019 and has 4 approved and 39 investigational indications.
CHEMBL3545415,,,Protein,False,SMC021,,3.0,,False,False,[],['Smc021'],,,"{'rows': array(['EFO_0003882', 'GO_0042697', 'MONDO_0005178', 'EFO_0003854'],
      dtype=object), 'count': 4}",[ENSG00000004948],Protein drug with a maximum clinical trial phase of III (across all indications) and has 4 investigational indications.
