drug,content
CHEMBL3545103,"nan_|_nan_|_Small molecule_|_False_|_AZD3199_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['Azd3199']_|_nan_|_nan_|_{'rows': array(['HP_0006536', 'EFO_0000341', 'MONDO_0004979'], dtype=object), 'count': 3}_|_[ENSG00000169252]_|_Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications."
CHEMBL3545145,"nan_|_nan_|_Small molecule_|_False_|_WX-554_|_nan_|_1.0_|_nan_|_False_|_False_|_[]_|_['Wx-554']_|_nan_|_nan_|_{'rows': array(['EFO_0000616'], dtype=object), 'count': 1}_|_[ENSG00000169032,ENSG00000126934]_|_Small molecule drug with a maximum clinical trial phase of I and has 1 investigational indication."
CHEMBL3545238,"nan_|_nan_|_Small molecule_|_False_|_CS-8080_|_nan_|_1.0_|_nan_|_False_|_False_|_[]_|_['Cs-8080']_|_nan_|_nan_|_nan_|_[ENSG00000025434,ENSG00000131408]_|_Small molecule drug with a maximum clinical trial phase of I."
CHEMBL3545340,CNC(=O)COc1cccc(Nc2ncc(F)c(Nc3ccc4c(c3)NC(=O)C(F)(F)O4)n2)c1.O=C(O)c1ccc2ccccc2c1O_|_ILIHENOWEIBEQV-UHFFFAOYSA-N_|_Small molecule_|_False_|_R-343_|_nan_|_2.0_|_CHEMBL2170582_|_False_|_False_|_[]_|_['R-343' 'R-940343' 'R940343']_|_nan_|_nan_|_nan_|_[ENSG00000165025]_|_Small molecule drug with a maximum clinical trial phase of II.
CHEMBL363648,"CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1_|_HEKAIDKUDLCBRU-UHFFFAOYSA-N_|_Small molecule_|_False_|_TAK-715_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['TAK 715' 'TAK-715' 'Tak-715']_|_[('PubChem', array(['103905024', '174006984'], dtype=object))]_|_nan_|_{'rows': array(['EFO_0000685'], dtype=object), 'count': 1}_|_[ENSG00000112062]_|_Small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication."
CHEMBL3707249,"nan_|_nan_|_Small molecule_|_False_|_ASM-024_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['Asm-024']_|_nan_|_nan_|_{'rows': array(['MONDO_0004979', 'EFO_0000341'], dtype=object), 'count': 2}_|_[ENSG00000175344,ENSG00000181072,ENSG00000168539,ENSG00000133019,ENSG00000117971,ENSG00000080644]_|_Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications."
CHEMBL3910075,COc1ccc(C(=O)c2cn(C(C)C)c3ncnc(N)c23)cc1NC(=O)Nc1ccc(Cl)cc1Cl_|_VFCRSIORGUNNGT-UHFFFAOYSA-N_|_Small molecule_|_False_|_CE-245677_|_nan_|_1.0_|_nan_|_False_|_False_|_[]_|_['Ce 245677' 'Ce-245677']_|_nan_|_nan_|_nan_|_[ENSG00000120156]_|_Small molecule drug with a maximum clinical trial phase of I.
CHEMBL3989990,"nan_|_nan_|_Antibody_|_False_|_ISTIRATUMAB_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['Istiratumab' 'MM-005' 'MM-141']_|_nan_|_nan_|_{'rows': array(['EFO_0000182', 'EFO_0002618'], dtype=object), 'count': 2}_|_[ENSG00000065361,ENSG00000140443]_|_Antibody drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications."
CHEMBL4297785,"nan_|_nan_|_Antibody_|_False_|_VIBOSTOLIMAB_|_nan_|_3.0_|_nan_|_False_|_False_|_[]_|_['MK-7684' 'MK7684' 'Mk-7684' 'TIGIT INHIBITOR MK-7684'
 'TIGIT-TARGETING AGENT MK-7684' 'Vibostolimab']_|_[('USAN', array(['https://searchusan.ama-assn.org/finder/usan/search/VIBOSTOLIMAB/relevant/1/'],
      dtype=object))]_|_nan_|_{'rows': array(['MONDO_0008315', 'EFO_0000756', 'EFO_0000702', 'MONDO_0001187',
       'EFO_0003060', 'EFO_0000681', 'EFO_0001642', 'EFO_1001951',
       'EFO_0008528', 'EFO_0000616'], dtype=object), 'count': 10}_|_[ENSG00000181847]_|_Antibody drug with a maximum clinical trial phase of III (across all indications) and has 10 investigational indications."
CHEMBL466659,"O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]_|_TZRXHJWUDPFEEY-UHFFFAOYSA-N_|_Small molecule_|_False_|_PENTAERYTHRITOL TETRANITRATE_|_nan_|_4.0_|_nan_|_False_|_True_|_['Cardiacap' 'Mycardol' 'Peritrate' 'Peritrate sa']_|_['Pentaerithritol tetranitrate' 'Pentaerithrityl tetranitrate'
 'Pentaerythritol tetranitrate' 'Pentaerythrityl tetranitrate' 'Pentalong'
 'Pentanitrol']_|_[('PubChem', array(['144205177', '144212064', '29215318'], dtype=object)), ('Wikipedia', array(['Pentaerythritol_tetranitrate'], dtype=object)), ('drugbank', array(['DB06154'], dtype=object)), ('chEBI', array(['25879'], dtype=object))]_|_nan_|_{'rows': array(['EFO_0000319'], dtype=object), 'count': 1}_|_[ENSG00000061918,ENSG00000123201,ENSG00000152402,ENSG00000164116]_|_Small molecule drug with a maximum clinical trial phase of IV and is indicated for cardiovascular disease."
CHEMBL471737,"COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2_|_ACRHBAYQBXXRTO-OAQYLSRUSA-N_|_Small molecule_|_False_|_IVABRADINE_|_2015.0_|_4.0_|_nan_|_False_|_True_|_['Corlanor' 'Procoralan']_|_['Ivabradine' 'S-16257']_|_[('DailyMed', array(['ivabradine'], dtype=object)), ('PubChem', array(['50125937'], dtype=object)), ('Wikipedia', array(['Ivabradine'], dtype=object)), ('drugbank', array(['DB09083'], dtype=object)), ('chEBI', array(['85966'], dtype=object))]_|_['CHEMBL2145077']_|_{'rows': array(['EFO_1001207', 'EFO_0003144', 'EFO_0006834', 'EFO_0007372',
       'EFO_1000645', 'EFO_0003144', 'EFO_1000899', 'EFO_1001373',
       'EFO_0000574', 'EFO_0003913', 'EFO_0005252', 'HP_0001649',
       'EFO_0000401', 'EFO_0008586', 'EFO_0000373', 'EFO_0001645',
       'EFO_0000319', 'EFO_0000275', 'EFO_0005251', 'EFO_0000373',
       'EFO_0003913', 'MONDO_0004992'], dtype=object), 'count': 22}_|_[ENSG00000138622]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2015 and has 4 approved and 18 investigational indications."
CHEMBL521851,"CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1_|_LHNIIDJUOCFXAP-UHFFFAOYSA-N_|_Small molecule_|_False_|_PICTILISIB_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['CDC-0941' 'GDC 0941' 'GDC-0941' 'Pictilisib' 'Pictrelisib' 'Rg-7321']_|_[('PubChem', array(['103905592'], dtype=object)), ('drugbank', array(['DB11663'], dtype=object)), ('chEBI', array(['65326'], dtype=object))]_|_['CHEMBL4097197' 'CHEMBL1922096']_|_{'rows': array(['MONDO_0007254', 'EFO_0005952', 'MONDO_0004992', 'EFO_0003060',
       'EFO_0000616'], dtype=object), 'count': 5}_|_[ENSG00000145675,ENSG00000051382,ENSG00000105851,ENSG00000121879,ENSG00000105647,ENSG00000171608,ENSG00000141506,ENSG00000117461]_|_Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 5 investigational indications."
CHEMBL524,"COc1ccc(OC)c(C(O)C(C)N)c1_|_WJAJPNHVVFWKKL-UHFFFAOYSA-N_|_Small molecule_|_False_|_METHOXAMINE_|_1982.0_|_4.0_|_nan_|_False_|_True_|_[]_|_['Methoxamine' 'NRL-001' 'NRL001' 'Nrl001' 'Vasoxyl']_|_[('PubChem', array(['90341132'], dtype=object)), ('Wikipedia', array(['Methoxamine'], dtype=object)), ('drugbank', array(['DB00723'], dtype=object)), ('chEBI', array(['6839'], dtype=object))]_|_['CHEMBL1201103']_|_{'rows': array(['EFO_0009523', 'EFO_0000319', 'EFO_0009523', 'HP_0000020'],
      dtype=object), 'count': 4}_|_[ENSG00000120907,ENSG00000171873,ENSG00000170214]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1982 and is indicated for cardiovascular disease and has 3 investigational indications."
CHEMBL5314392,"C[C@H](N)C(=O)N[C@@H](C)C(=O)OCCOc1ccc(-c2c(C#N)c(SCc3csc(-c4ccc(Cl)cc4)n3)nc(N3CCCC3)c2C#N)cc1_|_WESNEIGKOAXSGX-VXKWHMMOSA-N_|_Small molecule_|_False_|_BAY1067197_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['BAY-10-67197' 'BAY-1067197' 'BAY10-67197' 'BAY1067197' 'Bay1067197'
 'Neladenoson bialanate' 'Neladenoson dalanate']_|_nan_|_nan_|_{'rows': array(['EFO_0003144'], dtype=object), 'count': 1}_|_[ENSG00000163485]_|_Small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication."
CHEMBL5314401,"Cc1ncccc1C(=O)N1CCN(S(=O)(=O)c2ccc(C(F)(F)F)cc2)C[C@@H]1C_|_BLFJGFDZMABYMY-ZDUSSCGKSA-N_|_Small molecule_|_False_|_CNV2197944_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['CNV2197944' 'Cnv-2197944' 'Cnv2197944']_|_nan_|_nan_|_{'rows': array(['EFO_1000783', 'MONDO_0041052'], dtype=object), 'count': 2}_|_[ENSG00000148408]_|_Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications."
CHEMBL1090090,"NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F_|_FYSRKRZDBHOFAY-UHFFFAOYSA-N_|_Small molecule_|_False_|_VX-702_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['VX-702' 'Vx-702']_|_[('PubChem', array(['103905258', '137275870'], dtype=object)), ('drugbank', array(['DB05470'], dtype=object))]_|_nan_|_{'rows': array(['EFO_0000685'], dtype=object), 'count': 1}_|_[ENSG00000112062]_|_Small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication."
CHEMBL1200469,"CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl_|_JIVSXRLRGOICGA-UHFFFAOYSA-N_|_Small molecule_|_False_|_PROMAZINE HYDROCHLORIDE_|_1956.0_|_4.0_|_CHEMBL564_|_False_|_True_|_['Prazine' 'Promazine Granules' 'Promazine hydrochloride' 'Protactyl'
 'Sparine' 'Tranquazine' 'Verophene']_|_['NSC-17468' 'Promazine chloride' 'Promazine hcl'
 'Promazine hydrochloride']_|_[('PubChem', array(['144203786', '170464766', '26747628', '26747629', '50106839',
       '50106840', '50106841', '56422376', '57288080', '855749'],
      dtype=object)), ('chEBI', array(['8460'], dtype=object))]_|_nan_|_nan_|_[ENSG00000149295,ENSG00000151577,ENSG00000069696,ENSG00000102468]_|_Small molecule drug with a maximum clinical trial phase of IV that was first approved in 1956."
CHEMBL1200879,"CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+]_|_KYITYFHKDODNCQ-UHFFFAOYSA-M_|_Small molecule_|_True_|_WARFARIN SODIUM_|_1954.0_|_4.0_|_CHEMBL1464_|_False_|_True_|_['Athrombin' 'Coumadin' 'Jantoven' 'Marevan' 'Panwarfin' 'Warfarin sodium']_|_['Aldocumar' 'Apo-warfarin' 'Prothromadin' 'Sodium warfarin'
 'Warfarin sodium' 'Warfarin sodium salt' 'Warfarinum natricum'
 'Zoocoumarin sodium salt']_|_[('DailyMed', array(['warfarin%20sodium'], dtype=object)), ('PubChem', array(['144211862', '50085469'], dtype=object))]_|_nan_|_{'rows': array(['EFO_0000712', 'HP_0004936', 'EFO_0003907', 'EFO_0000275',
       'EFO_0000612', 'EFO_0000685', 'EFO_0003827', 'HP_0001907',
       'EFO_0004239'], dtype=object), 'count': 9}_|_[ENSG00000167397]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1954 and has 7 approved and 2 investigational indications. This drug has a black box warning from the FDA."
CHEMBL1201746,"C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1_|_OGSBUKJUDHAQEA-WMCAAGNKSA-N_|_Small molecule_|_False_|_PRALATREXATE_|_2009.0_|_4.0_|_nan_|_False_|_True_|_['Folotyn']_|_['NSC-754230' 'PDX' 'Pralatrexate']_|_[('DailyMed', array(['pralatrexate'], dtype=object)), ('PubChem', array(['144206459'], dtype=object)), ('Wikipedia', array(['Pralatrexate'], dtype=object)), ('drugbank', array(['DB06813'], dtype=object)), ('chEBI', array(['71223'], dtype=object))]_|_nan_|_{'rows': array(['EFO_0001378', 'EFO_0002913', 'MONDO_0000430', 'EFO_1000785',
       'MONDO_0015760', 'MONDO_0002158', 'MONDO_0008903', 'MONDO_0002087',
       'EFO_0000574', 'EFO_0000305', 'EFO_0003060', 'EFO_0000616',
       'MONDO_0008170', 'EFO_0003032', 'EFO_0006859', 'MONDO_0019471',
       'EFO_0000211', 'MONDO_0004992', 'EFO_1001051'], dtype=object), 'count': 19}_|_[ENSG00000228716]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2009 and has 5 approved and 14 investigational indications."
CHEMBL1721885,"Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1_|_CTNPALGJUAXMMC-PMFHANACSA-N_|_Small molecule_|_False_|_SU-014813_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['SU-14813' 'Su-014813' 'Su-14813']_|_[('PubChem', array(['50100117'], dtype=object))]_|_nan_|_{'rows': array(['EFO_0000616', 'EFO_0003869'], dtype=object), 'count': 2}_|_[ENSG00000157404,ENSG00000113721,ENSG00000134853,ENSG00000102755,ENSG00000037280,ENSG00000128052,ENSG00000122025]_|_Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications."
CHEMBL1761322,"CCS(=O)(=O)CCCC12CCC(c3nnc(-c4ccccc4C(F)(F)F)n3C)(CC1)CC2_|_ORQZQBUNAMJFCY-UHFFFAOYSA-N_|_Small molecule_|_False_|_MK-0736_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['MK0736' 'Mk-0736' 'Mk0736']_|_[('drugbank', array(['DB15209'], dtype=object))]_|_nan_|_{'rows': array(['EFO_0003875', 'EFO_0000537'], dtype=object), 'count': 2}_|_[ENSG00000117594]_|_Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications."
CHEMBL197672,"C[C@H](NC(=O)C(=O)Nc1ccccc1C(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)COc1c(F)c(F)cc(F)c1F_|_SCVHJVCATBPIHN-SJCJKPOMSA-N_|_Small molecule_|_False_|_EMRICASAN_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['Emricasan' 'IDN 6556' 'IDN-6556' 'PF 03491390' 'PF-03491390' 'VAY-785'
 'VAY785']_|_[('drugbank', array(['DB05408'], dtype=object))]_|_nan_|_{'rows': array(['EFO_0010282', 'EFO_0000400', 'MONDO_0100096', 'EFO_1001249',
       'EFO_0001422', 'EFO_0004220', 'EFO_1001345', 'EFO_0001421'],
      dtype=object), 'count': 8}_|_[ENSG00000196954,ENSG00000132906,ENSG00000164305,ENSG00000137757,ENSG00000138794,ENSG00000165806,ENSG00000064012,ENSG00000137752,ENSG00000106144,ENSG00000003400,ENSG00000105141,ENSG00000204403]_|_Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 8 investigational indications."
CHEMBL2103840,"CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12_|_PIMQWRZWLQKKBJ-SFHVURJKSA-N_|_Small molecule_|_False_|_DINACICLIB_|_nan_|_3.0_|_nan_|_False_|_False_|_[]_|_['Dinaciclib' 'Mk-7965' 'SCH 727965' 'SCH-727965' 'SCH727965']_|_[('drugbank', array(['DB12021'], dtype=object))]_|_nan_|_{'rows': array(['EFO_0006861', 'EFO_0000756', 'EFO_0000222', 'EFO_0000616',
       'EFO_0000095', 'MONDO_0001023', 'MONDO_0007254', 'EFO_0001378',
       'EFO_0000220'], dtype=object), 'count': 9}_|_[ENSG00000123374,ENSG00000170312,ENSG00000136807,ENSG00000164885]_|_Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 9 investigational indications."
CHEMBL2108660,"nan_|_nan_|_Antibody drug conjugate_|_False_|_TUCOTUZUMAB CELMOLEUKIN_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['EMD 273066' 'EMD-273066' 'HUKS-IL2' 'KSA-INTERLEUKIN-2'
 'Tucotuzumab celmoleukin']_|_nan_|_nan_|_{'rows': array(['MONDO_0008170'], dtype=object), 'count': 1}_|_[ENSG00000119888]_|_Antibody drug conjugate drug with a maximum clinical trial phase of II and has 1 investigational indication."
CHEMBL2108887,"nan_|_nan_|_Antibody_|_False_|_AFELIMOMAB_|_nan_|_2.0_|_nan_|_False_|_False_|_['Segard']_|_['Afelimomab' 'LU-54107' 'LU54107' 'MAK-195F']_|_nan_|_nan_|_{'rows': array(['EFO_0000540'], dtype=object), 'count': 1}_|_[ENSG00000232810]_|_Antibody drug with a maximum clinical trial phase of II and has 1 investigational indication."
CHEMBL229430,CC(=O)Nc1nc2c(Oc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)cccc2s1_|_YUTIXVXZQIQWGY-UHFFFAOYSA-N_|_Small molecule_|_False_|_AMG-517_|_nan_|_1.0_|_nan_|_False_|_False_|_[]_|_['AMG-517' 'Amg-517']_|_nan_|_nan_|_nan_|_[ENSG00000196689]_|_Small molecule drug with a maximum clinical trial phase of I.
